Name,Quantities,Kcal,Protein Content (g),Veg/Non_Veg,subcode,Sub_Type,Type,Code
DAL KACHORI (दल कचोरी),30g,169,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
EGG WHITE OMLETE  (अंडाकार),35g,35,4,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
HALF FRY EGG WITH TOASTED BREAD (टोस्टेड ब्रेड के साथ आधा तलना अंडे),100g,199,8.8,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
JAU DALIYA PORRIDGE (जौ डालीया दलिया),100g,115,2.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
MASALA OATS (मसाला ओट्स),30g,120,3.39,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
MIX DAL CHIILA  (मिक्स दाल चीला),30g,53,3,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
MOONG DAL CHILA (मूंग दाल चीला),30g,88,6.7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
NAMKEEN VEG DALIYA (नामकेन वेज डाली),30g,102,3.25,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
OATS DOSA (ओट्स डोसा),150g,71,2.21,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
OATS PORRIDGE (जई दलिया),100g,372,14,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
OMLETTE WITH TOASTED BREAD (टोस्टेड रोटी के साथ आमलेट),100g,189,9,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
ONION DOSA (प्याज डोसा),150g,191,4.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
PALAK MOONG DAL CHEELA (पालक मूंग दाल चेला),100g,144,7.8,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
PANEER STUFF DOSA (पनीर सामान डोसा),150g,174,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
PANEER STUFF ROTI (पनीर सामान रोटी),30g,5.58,5.58,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
POHA (पोहा),30g,136,2.24,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
RAGI CHEELA (रागी चेला),30g,68,1.9,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
RAGI DOSA (रागी डोसा),150g,137,3.95,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
RAWA/BESAN CHILLA (राव/बेसन चीला),30g,93,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
SPROUT CHAAT (अंकुर),100g,293.7,22.53,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
SUJI PORRIDGE (सुजी दलिया),100g,100.89,3.75,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
URAD DAL KACHORI (उरद दल कचोरी),30g,112,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
VEGETABLE IDLE (सब्जी बेकार),50(2 PIECES),167,5.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
VEGETABLE OATS (वनस्पति जई),30g,113.7,3.9,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
VEGETABLE STUFF DOSA (सब्जी सामान डोसा),150g,101,3.1,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
WHEAT FLAKES PORRIGE (गेहूं के गुच्छे दलिया),100g,81.57,2.64,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
CUCUMBER SLICES WITH YOGURT DIP (दही डुबकी के साथ ककड़ी स्लाइस),30g,121,5.8,Veg,A3,Side Dishes and Spreads,Breakfast,A
SATTU DRINK (सट्टू पेय),100ml,43,2.8,Veg,A3,Side Dishes and Spreads,Breakfast,A
BOILED CHANA (उबला हुआ चना),100g,378,8.9,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
DHOKLA (ढोकला),100g,60,2.8,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
MENDU VADE (मेंडू वेड),100g,185,8,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
OATS IDLI (ओट्स इडली),100g,395,10,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
PANEER SANDWICH (पनीर सैंडविच),100g,342,12.6,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
RAGI IDLI (रागी इडली),100g,62,1,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
RAJMA KABULI CHANA TIKKI (राजमा काबुली चना टिक्की),100g,304,11.74,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
RAMDANA TIKKI (रामदाना टिक्की),100g,87,5,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
SPROUTE CHANA (स्प्राउट चाना),100g,165,9,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
SPROUTE MOONG (अंकुरित मूंग),100g,64,3.4,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
SUJI IDLI (सुजी इडली),100g,74,2.4,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
UTTAPAM (उत्तरपम),100g,172,3,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
VEGETABLE SANDWICH (सब्जी सैंडविच),100g,252,8,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
APPLE (सेब),100g,150,5,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
BLUEBERRIES (ब्लूबेरी),100g,87,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
CHERRIES (चेरी),100g,37,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
CHIA SEED  (चिया बीज),1 tablespoon ,69,4.7,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
GUVAVA (अमरूद),100g,60,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
KIWI (कीवी),100g,25,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
MIX FRUITS CHAAT (फलों को मिलाएं),100g,609,18.41,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
ORANGE (नारंगी),100g,37.5,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
PAPAPA (पापापा),100g,61,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
PEARS (नाशपाती),200g,59,2.15,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
POMEGRANATES (अनार),60,34,7.4,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
QUINOA (QUINOA),100,120,4.4,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
SEASAME SEED (तिल),1tbsp (9g),57,1.6,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
SOAKED ALMOND (लथपथ बादाम),100g,287,18.77,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
SOAKED FIGS (लथपथ अंजीर),100g,539.42,23.35,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
SOAKED FLEXSEED  (भिगोया हुआ फ्लेक्सिस),1tbsp (9g),53,1.9,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
SOAKED PISTACHIOS (भिगोया हुआ पिस्ता),100g,24,1,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
SOAKED WALNUT (लथपथ अखरोट),100g,347,8.7,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
STRAWBERRIES (स्ट्रॉबेरी),100g,57,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
WATERMELON (तरबूज),1 tablespoon ,30,2,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
CAULIFLOWER SALAD (गोलाकार सलाद),30g,106.2,7,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C
CELERY SALAD (अजवाइन का सलाद),100g,16,1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C
CELERY SALAD (अजवाइन का सलाद),100g,150,5,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C
CHEAKPEA SALAD (छोला सलाद),30g,88,6.7,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C
FRUITS AND VEGETABLE SALAD (फलों और वनस्पति सलाद),100g,23,2.15,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C
GREEK SALAD  (यूनानी रायता),30g,86,2.3,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C
ALOO PARATHA (अलू पराठा),150g,330,5.9,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
BAJRA ROTI (बाजरा रोटी),30g,104,3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
BARLEY ROTI (जौ रोटी),30g,104,3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
BATHUA PARATHA (बथुआ पराठा),150g,224,3.12,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
CHEESE PARATHA (पनीर पराठा),150g,275,11g,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
DAL PARATHA (दाल पराठा),150g,151,3.54,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
GHOBI PARATHA (गोबी पराठा),150g,318,6.26,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
LEAFY STUFF CHAPATI (पत्तेदार सामान चपति),30g,56,3.4,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
MATAR PARATHA (मटर पराठा),150g,165,6.7,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
METHI PARATHA (मेथी पराठा),150g,280,8.55,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
MOOLI PARATHA (मुली पराठा),150g,315,5.75,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
MULTIGRAIN ROTI (मल्टीग्रैन रोटी),30g,112,4.35,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
PALAK PARATHA (पालक पराठा),150g,141,2.32,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
PLAIN PARATHA (सादा पराठा),150g,260,5.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
RAGI ROTI  (रागी रोटी),30g,96,2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
ROTI (रोटी),30g,96,3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
SATTU PARATHA (सत्तु पराठा),150g,395,12.26,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
SATTU ROTI (सट्टू रोटी),150g,86,5.6,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
VEG STUFF ROTI (शाकाहारी सामान रोटी),30g,77.5,3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
VEGETABLE STUFF PARATHA (सब्जी सामान पराठा),150g,310,8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
ARHAR DAL (अरहर दल),30g,40,2,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
BESAN CURRY (बेसन करी),100g,114,6,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
CHANA DAL (चना दल),30g,49,2.6,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
CHHOLE (छोल),100g,123,7.67,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
CUCUMBER RAITA (ककड़ी),100g,79,1.69,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
EGG CURRY (अंडे की करी),100g,79,2.3,Non_Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
KALA CHANA (कला चना),30g,42,3.56,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
LENTIL CURRY (लेंटिल करी),100g,114,5,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
LOBHIA (lobia),30g,114.4,10.6,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
MASOOR DAL (मसूर दाल),30g,89,5.8,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
MIX DAL (दाल को मिलाएं),30g,62,3.4,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
MIX VEG RAITA (मिक्स वेज रायता),100g,119,3.38,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
MOONG DAL (मूंग की दाल),30g,104,7.2,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
MUSHROOM CURRY (मूसल करी),100g,107,2.4,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
RAJMA (राजमा),30g,96.7,7.3,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
RED LENTILS(MASOOR DAL) (लाल दाल (मसूर दाल)),100G,274,14,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
SOYABEAN (सोया बीन),100g,85,2.6,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
TOFU OR PANEER CURRY (टोफू या पनीर करी),100g,113,3.31,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
TOOR DAL (टोर दाल),30g,48,3,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
URAD DAL (उड़द की दाल),30g,86,8.2,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
VEGETABLE CURRY (सब्जी कढ़ी),100ml,15,1.5,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
ALOO CHOKHA (अलू चोखा),100g,96,2.34,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
ALOO TAMATAR MATAR (अलू तमटार माटार),100g,155,3.7,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
BAIGAN BHARTA (बिंगन भार्ता),100g,116,2,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
BAKED VEGETABLE (पके हुए सब्जी),30g,81,3.9,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
BARTA EGGPLANT (बार्टा बैंगन),100g,75,2.42,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
BATHUWA SABZI (बाथुवा सब्जी),100g,19,1,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
BHINDI SABZI (भिंडी सब्जी),100g,72,5,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
CAPSICUM & PANEER BHUJI (शिमला मिर्च और पनीर भुरजी),100g,343,19,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
FRENCH  BEANS SABZI (फ्रेंच बीन्स सब्जी),100g,116,2,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
GAJAR MATAR SABZI (गजार मतर सब्जी),100g,65,2.21,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
GHOBI MATAR SABZI (गोबी मटर सब्जी),100g,121,8.5,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
KARELA SABZI (करेला सब्जी),100g,24,1,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
KATHAL SABZI (कथाल सब्जी),100g,123,8.16,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
LADY FINGER SABZI (लेडी फिंगर सब्जी),100g,65,1.28,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
LOKI SABZI (लोकी सब्जी),100g,118,1.8,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
MAITHI SABZI (मेथी सब्जी),100g,85,1.78,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
MATAR PANEER (मटर पनीर),100g,121,6.3,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
MATAR SABZI (मटर सब्जी),100g,75,2.4,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
MIX SABZI (मिक्स सब्ज़ी),100g,115,7,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
MOOLI SABZI (मुली सब्जी),100g,55,2.1,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PALAK PANEER (पालक पनीर),100g,65,1.28,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PALAK SABZI (पालक सब्जी),100g,61,1.68,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PALAK SOYA METHI SAAG (पालक सोया मेथी साग),100g,110,20,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PANEER MAKHANA (पनीर मखाना),100g,154,5.5,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PANEER TIKKA (पनीर टिक्का),100g,14,0,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PARWAL SABZI (परवाल सब्जी),100g,87,1.76,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PATTA GOBHI SABZI (पट्टा गोबी सब्जी),100g,69,2,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PUMKIN SABZI (कद्दू सबजी),100g,75,1,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
RAW BANANA (कच्चा केला),100g,121,6.3,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
RAW PAPAYA (कच्चा पपीता),100g,180,1.2,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
SHAHI PANEER (शाही पनीर),100g,156,5,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
SIMLA MIRCH SABJI (शिमला मिर्च सबजी),100g,169,7.89,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
STEAMED BROCCOLI/CAULIFLOWER (उबला हुआ ब्रोकोली/फूलगोभी),200g,59,2.15,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
TINDA SABZI (टिंडा सब्जी),100g,78,1.9,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
TINDA SABZI (टिंडा सब्जी),100g,85,1.7,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
TORAI SABZI (तोरई सब्जी),100g,18,0.6,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
BHELPURI (भेलपुरी),100g,270,5,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
CHAAS (चास),100g,108,2.63,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
CHANA KABAB (चना कबाब),100g,141,4.3,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
DAL FARA (दाल फरा),100g,234.5,7.6,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
MINT OR CORIANDER LASSI WITHOUT SUGAR (चीनी के बिना मिंट या धनिया लस्सी),100g,7.7,2.5,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
PEANUTS (मूंगफली),100g,200,0,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
ROASTED CHANA (भुना हुआ चना),100g,16,0,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
ROASTED CHIWDA (भुना हुआ चिवदा),100g,587,24,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
ROASTED LAIYA (भुना हुआ लिया),100g,361,7.47,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
ROASTED MAKHANA (भुना हुआ मखाना),100g,67,1.6,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
VEG SAMA UPMA (वेज समा उपमा),100g,72,1.7,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
VEG SEWAI (शाकाहारी),100g,211,1,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
AMLA CHUTNEY (अमला चटनी),100g,217,3.6,Veg,D3,"chutneys, dips, and sauces",Evening Snacks,D
COCONUT CHUTNEY (नारियल की चटनी),100g,200,0,Veg,D3,"chutneys, dips, and sauces",Evening Snacks,D
CORIANDER CHUTNEY (धनिया चटनी),100g,85,3,Veg,D3,"chutneys, dips, and sauces",Evening Snacks,D
MINT CHUTNEY (मिंट चटनी),100g,49,0,Veg,D3,"chutneys, dips, and sauces",Evening Snacks,D
TOMATO CHUTNEY (टमाटर की चटनी),100g,23,2.15,Veg,D3,"chutneys, dips, and sauces",Evening Snacks,D
ARHAR DAL KHICHDI (अरहर दल खिचड़ी),100g,138,3.7,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
BABY CORN SOUP  (बेबी कॉर्न सूप),30,96.72,7.3,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
BROCCOLI SOUP (ब्रोकोली सूप),30g,56,3.4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
DHULI MUNG DAL KHICHDI (धूली मूंग दल खिचड़ी),100g,129.5,4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
KNNOR SOUP (नोक का सूप),150g,35,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
LAUKI SMOOTHIE (लाउकी स्मूथी),100g,5.5,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
LEMON CORIANDER SOUP (नींबू),30g,49,2.67,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
LENTIL SOUP (दाल का सूप),100g,81.4,2.03,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
MIX VEGETABLE SOUP (सब्जी का सूप मिलाएं),30g,114.4,10.6,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
