Name,Quantities,Kcal,Protein Content (g),Veg/Non_Veg,subcode,Sub_Type,Type,Code
VEGETABLE SANDWICH,100g,252,8,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
APPLE,100g,150,5,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
BLUEBERRIES,100g,87,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
CHERRIES,100g,37,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
CHIA SEED ,1 tablespoon ,69,4.7,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
GUVAVA,100g,60,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
KIWI,100g,25,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
MIX FRUITS CHAAT,100g,609,18.41,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
ORANGE,100g,37.5,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
PAPAPA,100g,61,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
PEARS,200g,59,2.15,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
POMEGRANATES,60,34,7.4,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
QUINOA,100,120,4.4,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
SEASAME SEED,1tbsp (9g),57,1.6,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
SOAKED ALMOND,100g,287,18.77,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
SOAKED FIGS,100g,539.42,23.35,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
SOAKED FLEXSEED ,1tbsp (9g),53,1.9,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
SOAKED PISTACHIOS,100g,24,1,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
SOAKED WALNUT,100g,347,8.7,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
STRAWBERRIES,100g,57,0,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
WATERMELON,1 tablespoon ,30,2,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B
CAULIFLOWER SALAD,30g,106.2,7,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C
CELERY SALAD,100g,16,1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C
CELERY SALAD,100g,150,5,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C
CHEAKPEA SALAD,30g,88,6.7,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C
FRUITS AND VEGETABLE SALAD,100g,23,2.15,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C
GREEK SALAD ,30g,86,2.3,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C
ALOO PARATHA,150g,330,5.9,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
BAJRA ROTI,30g,104,3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
BARLEY ROTI,30g,104,3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
BATHUA PARATHA,150g,224,3.12,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
CHEESE PARATHA,150g,275,11g,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
DAL PARATHA,150g,151,3.54,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
GHOBI PARATHA,150g,318,6.26,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
LEAFY STUFF CHAPATI,30g,56,3.4,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
MATAR PARATHA,150g,165,6.7,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
METHI PARATHA,150g,280,8.55,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
MOOLI PARATHA,150g,315,5.75,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
MULTIGRAIN ROTI,30g,112,4.35,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
PALAK PARATHA,150g,141,2.32,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
PLAIN PARATHA,150g,260,5.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
RAGI ROTI ,30g,96,2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
ROTI,30g,96,3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
SATTU PARATHA,150g,395,12.26,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
SATTU ROTI,150g,86,5.6,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
VEG STUFF ROTI,30g,77.5,3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
VEGETABLE STUFF PARATHA,150g,310,8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C
ARHAR DAL,30g,40,2,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
BESAN CURRY,100g,114,6,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
CHANA DAL,30g,49,2.6,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
CHHOLE,100g,123,7.67,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
CUCUMBER RAITA,100g,79,1.69,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
EGG CURRY,100g,79,2.3,Non_Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
KALA CHANA,30g,42,3.56,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
LENTIL CURRY,100g,114,5,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
LOBHIA,30g,114.4,10.6,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
MASOOR DAL,30g,89,5.8,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
MIX DAL,30g,62,3.4,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
MIX VEG RAITA,100g,119,3.38,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
MOONG DAL,30g,104,7.2,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
MUSHROOM CURRY,100g,107,2.4,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
RAJMA,30g,96.7,7.3,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
RED LENTILS(MASOOR DAL),100G,274,14,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
SOYABEAN,100g,85,2.6,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
TOFU OR PANEER CURRY,100g,113,3.31,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
TOOR DAL,30g,48,3,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
URAD DAL,30g,86,8.2,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
VEGETABLE CURRY,100ml,15,1.5,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C
ALOO CHOKHA,100g,96,2.34,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
ALOO TAMATAR MATAR,100g,155,3.7,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
BAIGAN BHARTA,100g,116,2,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
BAKED VEGETABLE,30g,81,3.9,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
BARTA EGGPLANT,100g,75,2.42,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
BATHUWA SABZI,100g,19,1,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
BHINDI SABZI,100g,72,5,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
CAPSICUM & PANEER BHUJI,100g,343,19,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
FRENCH  BEANS SABZI,100g,116,2,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
GAJAR MATAR SABZI,100g,65,2.21,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
GHOBI MATAR SABZI,100g,121,8.5,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
KARELA SABZI,100g,24,1,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
KATHAL SABZI,100g,123,8.16,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
LADY FINGER SABZI,100g,65,1.28,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
LOKI SABZI,100g,118,1.8,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
MAITHI SABZI,100g,85,1.78,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
MATAR PANEER,100g,121,6.3,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
MATAR SABZI,100g,75,2.4,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
MIX SABZI,100g,115,7,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
MOOLI SABZI,100g,55,2.1,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PALAK PANEER,100g,65,1.28,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PALAK SABZI,100g,61,1.68,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PALAK SOYA METHI SAAG,100g,110,20,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PANEER MAKHANA,100g,154,5.5,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PANEER TIKKA,100g,14,0,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PARWAL SABZI,100g,87,1.76,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PATTA GOBHI SABZI,100g,69,2,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
PUMKIN SABZI,100g,75,1,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
RAW BANANA,100g,121,6.3,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
RAW PAPAYA,100g,180,1.2,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
SHAHI PANEER,100g,156,5,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
SIMLA MIRCH SABJI,100g,169,7.89,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
STEAMED BROCCOLI/CAULIFLOWER,200g,59,2.15,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
TINDA SABZI,100g,78,1.9,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
TINDA SABZI,100g,85,1.7,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
TORAI SABZI,100g,18,0.6,Veg,C4,"Dals, Vegetables, Rice, and Beverages",Lunch,C
BHELPURI,100g,270,5,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
CHAAS,100g,108,2.63,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
CHANA KABAB,100g,141,4.3,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
DAL FARA,100g,234.5,7.6,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
MINT OR CORIANDER LASSI WITHOUT SUGAR,100g,7.7,2.5,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
PEANUTS,100g,200,0,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
ROASTED CHANA,100g,16,0,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
ROASTED CHIWDA,100g,587,24,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
ROASTED LAIYA,100g,361,7.47,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
ROASTED MAKHANA,100g,67,1.6,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
VEG SAMA UPMA,100g,72,1.7,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
VEG SEWAI,100g,211,1,Veg,D1,"beverages, soups, and light snacks",Evening Snacks,D
AMLA CHUTNEY,100g,217,3.6,Veg,D3,"chutneys, dips, and sauces",Evening Snacks,D
COCONUT CHUTNEY,100g,200,0,Veg,D3,"chutneys, dips, and sauces",Evening Snacks,D
CORIANDER CHUTNEY,100g,85,3,Veg,D3,"chutneys, dips, and sauces",Evening Snacks,D
MINT CHUTNEY,100g,49,0,Veg,D3,"chutneys, dips, and sauces",Evening Snacks,D
TOMATO CHUTNEY,100g,23,2.15,Veg,D3,"chutneys, dips, and sauces",Evening Snacks,D
ARHAR DAL KHICHDI,100g,138,3.7,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
BABY CORN SOUP ,30,96.72,7.3,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
BROCCOLI SOUP,30g,56,3.4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
DHULI MUNG DAL KHICHDI,100g,129.5,4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
KNNOR SOUP,150g,35,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
LAUKI SMOOTHIE,100g,5.5,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
LEMON CORIANDER SOUP,30g,49,2.67,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
LENTIL SOUP,100g,81.4,2.03,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
MIX VEGETABLE SOUP,30g,114.4,10.6,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
MIX VEGETABLE SOUP,100g,114,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
OATS VEGETABLE SOUP,150g,35,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
RAGI SOUP,100ml,89,4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
RED MASOOR DAL KHICHDI,100g,128.5,4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
STREAM VEGETABLE,100g,43,2.8,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
SWEET CORN SOUP,30g,89,5.8,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
TOMATO SOUP,100g,49,2,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
VEG JAU DALIYA,100g,151,5,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
VEG OATS KHICHDI,100g,136,5,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
VEG SAMA TEHRI,100g,171,5.4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
VEGETABLE  SMOOTHIE,100g,25,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
PARBOILED RICE( USNA),30g,106,7,Veg,E3,"curries, dals, rice dishes, and accompaniments",Dinner,E
SAMBHAR,100g,9,0,Veg,E3,"curries, dals, rice dishes, and accompaniments",Dinner,E
SOYABEAN CURRY,100g,155.6,12.1,Veg,E3,"curries, dals, rice dishes, and accompaniments",Dinner,E
MILK DALIYA,180g,159,6,Veg,F1,Milk-Based Drinks,Bed Time,F
